State,Date,Generation_From_All_Sectors,Generation_Utility_Scale,Generation_Small_Scale,State,California,
New England,1-Jan-16,2467,707,1760,Date,1/1/2016,
New England,1-Jan-17,3164,947,2217,,,
Connecticut,1-Jan-16,344,25,320,Sum of Generation_From_All_Sectors,Sum of Generation_Utility_Scale,Sum of Generation_Small_Scale
Connecticut,1-Jan-17,447,40,407,24616,16386,8230
Maine,1-Jan-16,29,0,29,,,
Maine,1-Jan-17,46,5,41,,,
Massachusetts,1-Jan-16,1863,609,1254,,,
Massachusetts,1-Jan-17,2304,788,1516,,,
New Hampshire,1-Jan-16,52,0,52,,,
New Hampshire,1-Jan-17,87,0,87,,,
Rhode Island,1-Jan-16,44,15,30,,,
Rhode Island,1-Jan-17,69,14,55,,,
Vermont,1-Jan-16,135,59,76,,,
Vermont,1-Jan-17,210,99,111,,,
Middle Atlantic,1-Jan-16,3594,1049,2545,,,
Middle Atlantic,1-Jan-17,4378,1178,3199,,,
New Jersey,1-Jan-16,2220,835,1385,,,
New Jersey,1-Jan-17,2586,926,1660,,,
New York,1-Jan-16,1013,140,873,,,
New York,1-Jan-17,1364,183,1182,,,
Pennsylvania,1-Jan-16,361,75,287,,,
Pennsylvania,1-Jan-17,427,70,357,,,
East North Central,1-Jan-16,604,352,251,,,
East North Central,1-Jan-17,863,520,343,,,
Illinois,1-Jan-16,86,49,37,,,
Illinois,1-Jan-17,111,52,58,,,
Indiana,1-Jan-16,243,226,17,,,
Indiana,1-Jan-17,313,278,35,,,
Michigan,1-Jan-16,64,9,55,,,
Michigan,1-Jan-17,129,63,65,,,
Ohio,1-Jan-16,173,66,108,,,
Ohio,1-Jan-17,234,105,129,,,
Wisconsin,1-Jan-16,37,3,35,,,
Wisconsin,1-Jan-17,77,21,56,,,
West North Central,1-Jan-16,325,49,276,,,
West North Central,1-Jan-17,1055,680,376,,,
Iowa,1-Jan-16,60,0,59,,,
Iowa,1-Jan-17,94,5,89,,,
Kansas,1-Jan-16,11,2,8,,,
Kansas,1-Jan-17,22,5,17,,,
Minnesota,1-Jan-16,47,10,37,,,
Minnesota,1-Jan-17,655,596,59,,,
Missouri,1-Jan-16,200,33,167,,,
Missouri,1-Jan-17,261,56,204,,,
Nebraska,1-Jan-16,7,4,3,,,
Nebraska,1-Jan-17,21,15,5,,,
North Dakota,1-Jan-16,0,0,0,,,
North Dakota,1-Jan-17,0,0,0,,,
South Dakota,1-Jan-16,1,0,1,,,
South Dakota,1-Jan-17,3,2,1,,,
South Atlantic,1-Jan-16,6005,4736,1268,,,
South Atlantic,1-Jan-17,10461,8666,1795,,,
Delaware,1-Jan-16,119,51,67,,,
Delaware,1-Jan-17,143,50,92,,,
District of Columbia,1-Jan-16,32,0,32,,,
District of Columbia,1-Jan-17,52,0,52,,,
